"To succeed, one must be creative and persistent.",John H. Johnson,"Creative, Succeed, Must ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As far as Samson was concerned I was just another foreigner in pursuit of a lunatic quest.,"Tahir Shah, In Search of King Solomon's Mines","foreigner, journey, lunatic, question",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dan habis ini, gue harap lo bakal lebih wise dan nyari seseorang yang bersedia tinggal di sisi lo - not just for weekend, but for the whole days in the week.","Christian Simamora, With You","cute, romance, romantic-comedy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For a moment he wondered, again, if he should just give it all up. Perhaps he should go back to Italy, back to his hiding place. What made him think that he could rejoin the world of daylight?But he was tired of living in shadows. He was tired of the darkness, and of the things that lived in it. Most of all, he was tired of being alone.","L.J. Smith, The Awakening",thoughts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The ultimate, if distant, aim of the Bauhaus is the unified work of art - the great structure - in which there is no distinction between monumental and decorative art.",Walter Gropius,"Art, Great, Aim ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
After the Berlin Wall came down I visited that city and I will never forget it. The abandoned checkpoints. The sense of excitement about the future. The knowledge that a great continent was coming together. Healing those wounds of our history is the central story of the European Union.,David Cameron,"Knowledge, Future, Great ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Make Learning Magical,Tamara L. Chilver,"christian, disney-castle, grace-filled-homeschool, homekeeper, homeschool, homeschool-authors, homeschool-mom-encouragement, inspirational, the-battle-is-real",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If I told you that a flower bloomed in a dark room, would you trust it?",Kendrick Lamar,"music, thinking-quotes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We are all wonderful souls.,"Lailah Gifty Akita, Pearls of  Wisdom: Great  mind","beautiful-life, good-deeds, good-thoughts, lailah-gifty-akita-affirmations, life, love, mankind, motivational, people, romance, souls",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whoever serves his country well has no need of ancestors.,Voltaire,ancestry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Have you ever looked at, say, a picture or a great building or read a paragraph in a book and felt the world suddenly expand and, in the same instant, contract and harden into a kernel of perfect purity? Do you know what I mean? Everything suddenly fits, everything's in its place.","Carol Shields, The Stone Diaries","books, connection, literature, reading, words",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nothing - really, absolutely nothing - says more about Victorian Britain and its capacity for brilliance than that the century's most daring and iconic building was entrusted to a gardener.","Bill Bryson, At Home: A Short History of Private Life","history, humor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Praying which does not result in pure conduct is a delusion. We have missed the whole office and virtue of praying if it does not rectify conduct. It is in the very nature of things that we must quit praying  or quit bad conduct.,E. M. Bounds,prayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I think it doesn’t matter if you or I or anybody else thinks homosexuality is a sin. It doesn’t matter if you or I think anything is a sin. It doesn’t matter if homosexuality is a sin or not. In fact, it doesn’t matter if anything anybody else does is a sin or not.Because sin is a very personal thing! It always has been and it always will be!And it has nothing to do with love.","Dan Pearce, Single Dad Laughing","bigotry, charity, christianity, happiness, hate, hatred, homosexuality, judgment, judgmental-people, kindness, love",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
